Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Gears,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions,Fuel avg 
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,0,5,0,15.8,9.2,12.8,22,294,14.95
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16.1,10,13.4,21,308,15.125
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,0,13.2,8.7,11.2,25,258,14.525
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,3,18.3,12.6,15.7,18,251,16.15
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,0,5,1,16.7,10.3,13.8,20,317,15.2
FORD,E350 WAGON,VAN - PASSENGER,6.8,10,0,5,0,23.9,17.8,21.2,13,488,18.975
HONDA,CR-V,SUV - SMALL,2.4,4,0,5,0,10.3,7.6,9.1,31,209,14.5
HONDA,CR-V AWD,SUV - SMALL,2.4,4,0,5,0,10.6,7.9,9.4,30,216,14.475
HONDA,FIT,STATION WAGON - SMALL,1.5,4,0,5,0,8.3,6.5,7.5,38,172,15.075
HONDA,PILOT,SUV - SMALL,3.5,6,0,5,0,13.3,9.3,11.5,25,265,14.775
HONDA,PILOT AWD,SUV - SMALL,3.5,6,0,5,0,13.9,9.7,12,24,276,14.9
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,0,5,0,15.2,11.3,13.4,21,308,15.225
JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,0,5,0,14.1,11.1,12.8,22,294,15
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,0,5,0,14.8,11.7,13.4,21,308,15.225
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,0,5,0,19.1,13.4,16.5,17,380,16.5
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.7,10.6,12.3,23,283,14.9
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,0,5,0,14.7,10.2,12.7,22,292,14.9
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.7,11.2,13.7,21,315,15.4
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,0,5,0,17.9,12.8,15.6,18,359,16.075
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,0,5,0,19.7,14.3,17.3,16,398,16.825
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,0,5,0,16.1,11.9,14.2,20,327,15.55
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4,6,0,5,0,14.3,11.2,12.9,22,297,15.1
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,14.7,11.5,13.3,21,306,15.125
DODGE,CHARGER,FULL-SIZE,3.6,6,0,5,0,13.7,8.9,11.5,25,264,14.775
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,0,13.7,8.9,11.5,25,264,14.775
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,3,18.7,12.4,15.9,18,254,16.25
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,0,5,0,15.7,9.6,12.9,22,297,15.05
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16.1,10,13.4,21,308,15.125
HONDA,PILOT,SUV - SMALL,3.5,6,0,5,0,13.3,9.3,11.5,25,264,14.775
HONDA,PILOT 4WD,SUV - SMALL,3.5,6,0,5,0,13.8,9.7,12,24,276,14.875
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,0,5,0,14.1,11.1,12.8,22,294,15
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,0,5,0,14.8,11.7,13.4,21,308,15.225
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,0,5,0,19.2,13.4,16.6,17,382,16.55
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,0,5,0,13.7,10.6,12.3,23,283,14.9
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,0,5,0,14.8,10.3,12.7,22,292,14.95
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,15.7,11.3,13.7,21,315,15.425
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,0,5,0,18.4,13.3,16.1,18,370,16.45
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,0,5,0,19.7,14.3,17.2,16,396,16.8
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,0,5,0,16,12,14.2,20,327,15.55
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4,6,0,5,0,14.8,11.6,13.4,21,308,15.2
DODGE,CHARGER,FULL-SIZE,3.6,6,0,5,0,13.7,8.9,11.5,25,271,14.775
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,0,13.7,8.9,11.5,25,271,14.775
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,0,5,3,18.7,12.4,15.9,18,264,16.25
